,Absorbing State,Expected No. of Moves,Sum
0,"(2, 4, 4, 8, 2048)",938.1524717433497,2066
1,"(2, 4, 16, 2048)",939.9117175015035,2070
2,"(2, 2, 8, 8, 2048)",939.8225157724175,2068
3,"(2, 4, 8, 8, 2048)",939.7913147275959,2070
4,"(2, 2, 4, 16, 2048)",939.9507154662184,2072
5,"(4, 4, 16, 2048)",939.9047989301154,2072
6,"(2, 4, 8, 16, 2048)",939.9555382215289,2078
7,"(2, 4, 4, 16, 2048)",939.9599492385787,2074
8,"(2, 2, 8, 16, 2048)",940.176268861454,2076
9,"(2, 8, 16, 2048)",939.962651879638,2074
10,"(2, 2, 16, 2048)",938.4080762478054,2068
11,"(4, 4, 4, 16, 2048)",940.1098942598187,2076
12,"(4, 4, 4, 8, 2048)",938.0144596651446,2068
13,"(4, 4, 8, 8, 2048)",939.847247706422,2072
14,"(4, 8, 16, 2048)",939.5947660586836,2076
15,"(4, 4, 8, 16, 2048)",940.2876712328767,2080
16,"(2, 4, 4, 8, 16, 2048)",937.8,2082
17,"(2, 2, 4, 8, 16, 2048)",938.2127659574468,2080
18,"(2, 8, 8, 16, 2048)",945.0,2082
