,state,sum
0,"[2, 4, 4, 8, 2048]",2066
1,"[2, 2, 8, 8, 2048]",2068
2,"[4, 4, 4, 8, 2048]",2068
3,"[2, 2, 16, 2048]",2068
4,"[2, 4, 8, 8, 2048]",2070
5,"[2, 4, 16, 2048]",2070
6,"[4, 4, 8, 8, 2048]",2072
7,"[4, 4, 16, 2048]",2072
8,"[2, 2, 4, 16, 2048]",2072
9,"[2, 4, 4, 16, 2048]",2074
10,"[2, 8, 16, 2048]",2074
11,"[4, 8, 16, 2048]",2076
12,"[4, 4, 4, 16, 2048]",2076
13,"[2, 2, 8, 16, 2048]",2076
14,"[2, 4, 8, 16, 2048]",2078
15,"[4, 4, 8, 16, 2048]",2080
16,"[2, 2, 4, 8, 16, 2048]",2080
17,"[2, 4, 4, 8, 16, 2048]",2082
18,"[2, 8, 8, 16, 2048]",2082
19,"[4, 8, 8, 16, 2048]",2084
20,"[4, 4, 4, 8, 16, 2048]",2084
21,"[2, 2, 8, 8, 16, 2048]",2084
22,"[2, 2, 16, 16, 2048]",2084
23,"[2, 4, 8, 8, 16, 2048]",2086
24,"[2, 4, 16, 16, 2048]",2086
25,"[4, 4, 16, 16, 2048]",2088
